customer_id,tenure,monthly_charges,total_charges,num_products,num_complaints,days_since_last_login,contract,payment_method,internet_service,churn
C006252,20,44.01,867.34,5,3,14,month-to-month,bank_transfer,fiber,0
C004684,38,34.09,1324.59,4,0,73,month-to-month,electronic_check,none,0
C001731,66,74.27,4872.32,3,1,76,two-year,mailed_check,none,0
C004742,31,77.62,2406.3,5,0,63,two-year,credit_card,fiber,0
C004521,51,82.75,4204.62,1,0,76,one-year,bank_transfer,dsl,0
C006340,22,81.28,1752.67,3,0,58,two-year,credit_card,dsl,0
C000576,67,118.22,8042.47,4,1,45,two-year,credit_card,fiber,0
C005202,61,62.12,3716.48,4,1,3,month-to-month,credit_card,fiber,0
C006363,19,50.61,985.56,4,0,28,one-year,bank_transfer,dsl,0
C000439,29,35.55,954.03,2,0,80,month-to-month,electronic_check,none,0
C002750,18,105.68,1901.93,2,1,31,month-to-month,mailed_check,dsl,0
C007487,37,63.75,2348.46,5,0,25,month-to-month,bank_transfer,fiber,0
C005272,18,80.37,1475.44,2,0,2,one-year,credit_card,dsl,0
C005653,34,34.37,1079.97,4,0,45,one-year,mailed_check,dsl,0
C003999,38,84.23,3190.4,3,0,53,month-to-month,electronic_check,dsl,1
C006033,69,73.07,4990.65,2,1,5,month-to-month,mailed_check,fiber,0
C000582,8,52.43,437.41,1,0,0,month-to-month,electronic_check,fiber,0
C009930,25,49.89,1230.21,3,0,53,month-to-month,mailed_check,none,0
C007051,32,34.02,1106.48,5,0,12,month-to-month,credit_card,fiber,0
C008158,68,108.69,7378.79,4,0,52,month-to-month,bank_transfer,dsl,0
C009896,58,26.12,1556.74,5,0,38,month-to-month,bank_transfer,fiber,0
C002249,31,80.1,2501.9,3,0,89,month-to-month,credit_card,fiber,0
C004640,61,92.41,5649.68,3,0,30,month-to-month,bank_transfer,dsl,0
C009485,57,87.69,5073.78,3,2,27,month-to-month,bank_transfer,none,0
C004947,38,44.11,1654.46,4,0,71,one-year,bank_transfer,fiber,0
C009920,17,67.29,1172.12,2,0,29,one-year,bank_transfer,fiber,0
C001963,59,59.6,3505.87,4,1,49,month-to-month,credit_card,dsl,0
C008243,58,35.73,2028.72,3,1,35,month-to-month,mailed_check,dsl,0
C006590,1,62.28,72.92,3,2,82,month-to-month,electronic_check,dsl,1
C008847,17,40.81,655.04,3,0,33,month-to-month,electronic_check,dsl,0
C000321,8,83.42,606.06,2,2,22,month-to-month,credit_card,dsl,1
C002678,42,111.15,4631.81,5,1,87,month-to-month,bank_transfer,dsl,0
C004625,28,90.07,2562.42,4,0,27,month-to-month,electronic_check,fiber,0
C004949,27,74.89,2054.64,2,0,63,month-to-month,bank_transfer,fiber,0
C008328,12,26.65,265.84,1,0,37,month-to-month,credit_card,none,0
C003337,4,30.95,59.22,2,0,52,month-to-month,bank_transfer,none,0
C005589,61,77.35,4741.34,2,0,4,month-to-month,mailed_check,dsl,1
C000251,36,26.21,1071.13,5,1,89,two-year,electronic_check,none,0
C003973,19,25.65,494.49,2,0,15,one-year,credit_card,fiber,0
C006630,35,87.78,3055.25,1,3,39,month-to-month,bank_transfer,fiber,0
C005547,4,59.41,215.56,4,0,77,month-to-month,electronic_check,none,0
C000035,5,39.82,195.52,5,1,50,one-year,electronic_check,none,0
C008362,56,50.02,2838.17,2,0,36,two-year,electronic_check,dsl,0
C001513,24,95.21,2329.66,5,0,77,month-to-month,mailed_check,none,0
C009317,42,92.0,3900.05,4,0,49,month-to-month,mailed_check,fiber,0
C000039,46,96.3,4407.36,3,0,18,month-to-month,mailed_check,fiber,0
C004819,68,108.43,7436.0,4,0,58,month-to-month,mailed_check,fiber,0
C003465,54,70.37,3798.49,5,0,33,month-to-month,bank_transfer,fiber,0
C001760,28,24.4,646.94,3,0,61,month-to-month,mailed_check,fiber,0
C002304,66,73.13,4896.62,5,0,41,one-year,mailed_check,fiber,0
C003723,72,95.07,6808.52,5,0,3,month-to-month,mailed_check,dsl,0
C008284,58,117.31,6798.64,2,1,53,month-to-month,credit_card,dsl,0
C004993,40,34.0,1298.25,5,0,62,month-to-month,mailed_check,dsl,0
C008127,43,83.82,3555.16,2,0,28,month-to-month,mailed_check,fiber,0
C003032,41,76.46,3227.21,3,0,41,one-year,electronic_check,dsl,0
C007938,6,96.33,617.31,4,0,53,month-to-month,mailed_check,none,1
